Timestamp,Agitation [rpm],Airflow [mL/s],DO [%],Temp [C],pH,Feed pump [ml/hr],Base Pump [mL/hr],Antifoam Pump [mL/hr],_EFT
2019-10-18 15:56:19.819433,999.68,60.0,99.99,31.99,7.2,0,0,0
2019-10-18 15:57:19.819433,1004.71,59.76,99.84,31.88,7.1992,0,0,0,0:00:00
2019-10-18 15:58:19.819433,1004.32,60.17,100.04,31.95,7.1996,0,0,0,0:01:00
2019-10-18 15:59:19.819433,995.65,59.85,99.7,31.86,7.2027,0,0,0,0:02:00
2019-10-18 16:00:19.819433,1001.65,60.18,99.85,32.03,7.1993,0,0,0,0:03:00
2019-10-18 16:01:19.819433,999.82,59.92,99.97,32.01,7.2003,0,0,0,0:04:00
2019-10-18 16:02:19.819433,1001.08,59.84,99.74,32.02,7.2013,0,0,0,0:05:00
2019-10-18 16:03:19.819433,1000.17,59.96,99.5,32.15,7.2017,0,0,0,0:06:00
2019-10-18 16:04:19.819433,999.11,59.97,99.79,32.13,7.2013,0,0,0,0:07:00
2019-10-18 16:05:19.819433,997.46,59.8,100.04,32.09,7.1972,0,0,0,0:08:00
2019-10-18 16:06:19.819433,999.1,60.21,100.34,32.1,7.2022,0,0,0,0:09:00
2019-10-18 16:07:19.819433,1004.86,59.92,100.27,32.09,7.1997,0,0,0,0:10:00
2019-10-18 16:08:19.819433,1001.85,60.29,99.98,32.01,7.2009,0,0,0,0:11:00
2019-10-18 16:09:19.819433,1003.96,59.91,99.69,31.94,7.2032,0,0,0,0:12:00
2019-10-18 16:10:19.819433,1004.03,60.0,99.55,31.93,7.1968,0,0,0,0:13:00
2019-10-18 16:11:19.819433,1004.02,59.92,99.67,32.11,7.203,0,0,0,0:14:00
2019-10-18 16:12:19.819433,1003.44,59.93,99.91,32.13,7.1981,0,0,0,0:15:00
2019-10-18 16:13:19.819433,1004.52,59.77,99.96,32.01,7.2034,0,0,0,0:16:00
2019-10-18 16:14:19.819433,1002.53,59.84,100.43,32.05,7.2035,0,0,0,0:17:00
2019-10-18 16:15:19.819433,995.16,60.27,100.43,31.93,7.2004,0,0,0,0:18:00
2019-10-18 16:16:19.819433,1003.61,59.81,99.94,31.99,7.1974,0,0,0,0:19:00
2019-10-18 16:17:19.819433,997.27,59.73,100.14,31.97,7.1994,0,0,0,0:20:00
2019-10-18 16:18:19.819433,1001.92,60.19,99.61,32.0,7.1967,0,0,0,0:21:00
2019-10-18 16:19:19.819433,1000.09,59.97,99.78,32.07,7.2024,0,0,0,0:22:00
2019-10-18 16:20:19.819433,996.34,59.79,99.87,32.08,7.203,0,0,0,0:23:00
2019-10-18 16:21:19.819433,1000.85,59.86,100.3,32.01,7.1983,0,0,0,0:24:00
